agency_id,agency_name,agency_type,state,district,nodal_officer_designation,contact_email_synthetic,performance_rating,active_status,synthetic_demo_data
AGY-SYNTH-0230,Cuttack Irrigation & Flood Management Dept (Demo) Unit-5,Irrigation & Flood Management Dept (Demo),Odisha,Cuttack,Nodal Officer (Demo Code 230),officer.demo.0230@cuttack.synthetic.gov.in,3.27,Active,True
AGY-SYNTH-0231,Dibrugarh Irrigation & Flood Management Dept (Demo) Unit-1,Irrigation & Flood Management Dept (Demo),Assam,Dibrugarh,Nodal Officer (Demo Code 231),officer.demo.0231@dibrugarh.synthetic.gov.in,3.86,Active,True
AGY-SYNTH-0232,Muzaffarpur Municipal Engineering Cell (Demo) Unit-2,Municipal Engineering Cell (Demo),Bihar,Muzaffarpur,Nodal Officer (Demo Code 232),officer.demo.0232@muzaffarpur.synthetic.gov.in,4.04,Suspended (Demo),True
AGY-SYNTH-0233,Purba Medinipur State Renewable Energy Development Corp (Demo) Unit-3,State Renewable Energy Development Corp (Demo),West Bengal,Purba Medinipur,Nodal Officer (Demo Code 233),officer.demo.0233@purbamedinipur.synthetic.gov.in,4.68,Active,True
AGY-SYNTH-0234,Rajkot Rural Development Agency (Demo) Unit-4,Rural Development Agency (Demo),Gujarat,Rajkot,Nodal Officer (Demo Code 234),officer.demo.0234@rajkot.synthetic.gov.in,4.09,Active,True
AGY-SYNTH-0235,Amritsar Municipal Engineering Cell (Demo) Unit-5,Municipal Engineering Cell (Demo),Punjab,Amritsar,Nodal Officer (Demo Code 235),officer.demo.0235@amritsar.synthetic.gov.in,3.9,Active,True
AGY-SYNTH-0236,Salem Rural Development Agency (Demo) Unit-1,Rural Development Agency (Demo),Tamil Nadu,Salem,Nodal Officer (Demo Code 236),officer.demo.0236@salem.synthetic.gov.in,4.0,Active,True
AGY-SYNTH-0237,Jodhpur Irrigation & Flood Management Dept (Demo) Unit-2,Irrigation & Flood Management Dept (Demo),Rajasthan,Jodhpur,Nodal Officer (Demo Code 237),officer.demo.0237@jodhpur.synthetic.gov.in,4.3,Active,True
AGY-SYNTH-0238,Warangal Irrigation & Flood Management Dept (Demo) Unit-3,Irrigation & Flood Management Dept (Demo),Telangana,Warangal,Nodal Officer (Demo Code 238),officer.demo.0238@warangal.synthetic.gov.in,4.82,Active,True
AGY-SYNTH-0239,Khordha State Sports Infrastructure Authority (Demo) Unit-4,State Sports Infrastructure Authority (Demo),Odisha,Khordha,Nodal Officer (Demo Code 239),officer.demo.0239@khordha.synthetic.gov.in,4.68,Suspended (Demo),True
AGY-SYNTH-0240,Thane Water Supply & Sanitation Board (Demo) Unit-5,Water Supply & Sanitation Board (Demo),Maharashtra,Thane,Nodal Officer (Demo Code 240),officer.demo.0240@thane.synthetic.gov.in,4.27,Active,True
AGY-SYNTH-0241,Dakshina Kannada Rural Development Agency (Demo) Unit-1,Rural Development Agency (Demo),Karnataka,Dakshina Kannada,Nodal Officer (Demo Code 241),officer.demo.0241@dakshinakannada.synthetic.gov.in,3.94,Active,True
AGY-SYNTH-0242,Gaya Rural Development Agency (Demo) Unit-2,Rural Development Agency (Demo),Bihar,Gaya,Nodal Officer (Demo Code 242),officer.demo.0242@gaya.synthetic.gov.in,3.95,Active,True
AGY-SYNTH-0243,Nagpur Public Works Dept (Demo) Unit-3,Public Works Dept (Demo),Maharashtra,Nagpur,Nodal Officer (Demo Code 243),officer.demo.0243@nagpur.synthetic.gov.in,3.75,Active,True
AGY-SYNTH-0244,Udaipur State Renewable Energy Development Corp (Demo) Unit-4,State Renewable Energy Development Corp (Demo),Rajasthan,Udaipur,Nodal Officer (Demo Code 244),officer.demo.0244@udaipur.synthetic.gov.in,3.93,Active,True
AGY-SYNTH-0245,Surat Municipal Engineering Cell (Demo) Unit-5,Municipal Engineering Cell (Demo),Gujarat,Surat,Nodal Officer (Demo Code 245),officer.demo.0245@surat.synthetic.gov.in,3.49,Active,True
AGY-SYNTH-0246,Ajmer Water Supply & Sanitation Board (Demo) Unit-1,Water Supply & Sanitation Board (Demo),Rajasthan,Ajmer,Nodal Officer (Demo Code 246),officer.demo.0246@ajmer.synthetic.gov.in,4.05,Active,True
AGY-SYNTH-0247,Dakshina Kannada State Sports Infrastructure Authority (Demo) Unit-2,State Sports Infrastructure Authority (Demo),Karnataka,Dakshina Kannada,Nodal Officer (Demo Code 247),officer.demo.0247@dakshinakannada.synthetic.gov.in,4.28,Active,True
AGY-SYNTH-0248,Hyderabad Public Works Dept (Demo) Unit-3,Public Works Dept (Demo),Telangana,Hyderabad,Nodal Officer (Demo Code 248),officer.demo.0248@hyderabad.synthetic.gov.in,4.73,Active,True
AGY-SYNTH-0249,Agra Municipal Engineering Cell (Demo) Unit-4,Municipal Engineering Cell (Demo),Uttar Pradesh,Agra,Nodal Officer (Demo Code 249),officer.demo.0249@agra.synthetic.gov.in,3.33,Active,True
AGY-SYNTH-0250,Indore Zilla Parishad Engineering Division (Demo) Unit-5,Zilla Parishad Engineering Division (Demo),Madhya Pradesh,Indore,Nodal Officer (Demo Code 250),officer.demo.0250@indore.synthetic.gov.in,4.29,Active,True
AGY-SYNTH-0251,Varanasi State Sports Infrastructure Authority (Demo) Unit-1,State Sports Infrastructure Authority (Demo),Uttar Pradesh,Varanasi,Nodal Officer (Demo Code 251),officer.demo.0251@varanasi.synthetic.gov.in,4.64,Active,True
AGY-SYNTH-0252,Ajmer State Sports Infrastructure Authority (Demo) Unit-2,State Sports Infrastructure Authority (Demo),Rajasthan,Ajmer,Nodal Officer (Demo Code 252),officer.demo.0252@ajmer.synthetic.gov.in,3.38,Active,True
AGY-SYNTH-0253,Udaipur Zilla Parishad Engineering Division (Demo) Unit-3,Zilla Parishad Engineering Division (Demo),Rajasthan,Udaipur,Nodal Officer (Demo Code 253),officer.demo.0253@udaipur.synthetic.gov.in,4.89,Active,True
AGY-SYNTH-0254,Hyderabad Irrigation & Flood Management Dept (Demo) Unit-4,Irrigation & Flood Management Dept (Demo),Telangana,Hyderabad,Nodal Officer (Demo Code 254),officer.demo.0254@hyderabad.synthetic.gov.in,3.67,Active,True
AGY-SYNTH-0255,Warangal Public Works Dept (Demo) Unit-5,Public Works Dept (Demo),Telangana,Warangal,Nodal Officer (Demo Code 255),officer.demo.0255@warangal.synthetic.gov.in,4.75,Active,True
AGY-SYNTH-0256,Agra Water Supply & Sanitation Board (Demo) Unit-1,Water Supply & Sanitation Board (Demo),Uttar Pradesh,Agra,Nodal Officer (Demo Code 256),officer.demo.0256@agra.synthetic.gov.in,4.23,Active,True
AGY-SYNTH-0257,Gaya Water Supply & Sanitation Board (Demo) Unit-2,Water Supply & Sanitation Board (Demo),Bihar,Gaya,Nodal Officer (Demo Code 257),officer.demo.0257@gaya.synthetic.gov.in,4.26,Active,True
AGY-SYNTH-0258,Amritsar Municipal Engineering Cell (Demo) Unit-3,Municipal Engineering Cell (Demo),Punjab,Amritsar,Nodal Officer (Demo Code 258),officer.demo.0258@amritsar.synthetic.gov.in,4.27,Active,True
AGY-SYNTH-0259,Muzaffarpur Public Works Dept (Demo) Unit-4,Public Works Dept (Demo),Bihar,Muzaffarpur,Nodal Officer (Demo Code 259),officer.demo.0259@muzaffarpur.synthetic.gov.in,3.73,Active,True
AGY-SYNTH-0260,Indore State Renewable Energy Development Corp (Demo) Unit-5,State Renewable Energy Development Corp (Demo),Madhya Pradesh,Indore,Nodal Officer (Demo Code 260),officer.demo.0260@indore.synthetic.gov.in,4.45,Active,True
